,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,MÃ¡s de 30 Mbps,OTROS,Total,hasta 1Mbps,1Mbps a 10Mbps,Periodo
0,101127,345,11595,0,6272846,740303,5419476,2014-Q1
1,147273,478,12259,0,6348745,697472,5491263,2014-Q2
2,182483,507,12424,0,6367671,611761,5526809,2014-Q3
3,276254,4371,15229,0,6475485,598824,5580807,2014-Q4
4,348102,7643,16347,0,6623212,558077,5693043,2015-Q1
5,432762,10045,18529,0,6786105,540898,5783871,2015-Q2
6,539414,13101,20677,0,6852988,459280,5788989,2015-Q3
7,639011,17568,22170,0,6916766,461637,5776380,2015-Q4
8,641646,27664,23380,0,6835285,70909,5707357,2016-Q1
9,785759,73977,29020,0,7172464,428229,5855479,2016-Q2
10,919208,124564,31022,0,7141925,314517,5752614,2016-Q3
11,1038029,169522,38590,0,7144696,254122,5644433,2016-Q4
12,1129987,210668,47990,0,7199018,250812,5559561,2017-Q1
13,1342000,231604,98635,0,7323717,245132,5406346,2017-Q2
14,1592304,353480,245790,0,7553629,237019,5125036,2017-Q3
15,1730353,631946,337559,155145,7870222,236515,4778704,2017-Q4
16,2068087,862010,397977,236584,8037053,222715,4249680,2018-Q1
17,1905839,1000036,444391,238455,8110444,225439,4296284,2018-Q2
18,1607137,1571692,524777,156475,8347035,226264,4260690,2018-Q3
19,1472634,1688748,599579,152388,8473655,215070,4220370,2018-Q4
20,1464748,1244215,1138728,12657,8648135,362279,4311595,2019-Q1
21,1169632,1250366,1677830,247983,8960181,29877,4315600,2019-Q2
22,806466,1141545,2314898,243467,9164684,322312,4335996,2019-Q3
23,851619,1004083,2830746,201046,8793181,41170,3838435,2019-Q4
24,814470,532309,3500882,194212,8812426,9872,3671833,2020-Q1
25,807775,523437,3711499,194008,9031056,45907,3704609,2020-Q2
26,799350,538567,4053461,201777,9356199,85043,3678001,2020-Q3
27,786595,582420,4239237,185102,9571562,46136,3696513,2020-Q4
28,737930,595920,4379965,186797,9647972,81161,3666199,2021-Q1
29,693277,647401,4661291,167369,9863084,82196,3611550,2021-Q2
30,710122,536364,4948174,163269,10085541,81611,3646001,2021-Q3
31,976539,558358,6032322,194251,10489794,69783,2658541,2021-Q4
32,967508,509830,6336187,198333,10624009,13973,2472421,2022-Q1
33,856562,485321,6741922,351594,10958684,133165,2390120,2022-Q2
34,823505,479822,6995750,349035,11091128,129740,2313276,2022-Q3
