,A̱o,Trimestre,Ingresos (miles de pesos),Periodo
32,2014,1,2984054,Ene-Mar 2014
31,2014,2,3270816,Abr-Jun 2014
30,2014,3,3478638,Jul-Sept 2014
29,2014,4,3950441,Oct-Dic 2014
28,2015,1,4876385,Ene-Mar 2015
27,2015,2,4701791,Abr-Jun 2015
26,2015,3,5153739,Jul-Sept 2015
25,2015,4,5376899,Oct-Dic 2015
24,2016,1,5936845,Ene-Mar 2016
23,2016,2,6534241,Abr-Jun 2016
22,2016,3,6912442,Jul-Sept 2016
21,2016,4,7483980,Oct-Dic 2016
20,2017,1,8701201,Ene-Mar 2017
19,2017,2,9678647,Abr-Jun 2017
18,2017,3,10065998,Jul-Sept 2017
17,2017,4,11226127,Oct-Dic 2017
16,2018,1,13171459,Ene-Mar 2018
15,2018,2,14319467,Abr-Jun 2018
14,2018,3,15410981,Jul-Sept 2018
13,2018,4,16637687,Oct-Dic 2018
12,2019,1,20207414,Ene-Mar 2019
11,2019,2,20743118,Abr-Jun 2019
10,2019,3,21652748,Jul-Sept 2019
9,2019,4,24169251,Oct-Dic 2019
8,2020,1,29946216,Ene-Mar 2020
7,2020,2,32102476,Abr-Jun 2020
6,2020,3,31997445,Jul-Sept 2020
5,2020,4,33539703,Oct-Dic 2020
4,2021,1,36676371,Ene-Mar 2021
3,2021,2,38239667,Abr-Jun 2021
2,2021,3,42999944,Jul-Sept 2021
1,2021,4,45467887,Oct-Dic 2021
0,2022,1,51432896,Ene-Mar 2022
